Output of 'ps -ef':
UID          PID    PPID  C STIME TTY          TIME CMD
aro        54458   54410  0 18:10 ?        00:00:32 /opt/google/chrome/chrome --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-GB --service-sandbox-type=none --string-annotations --crashpad-handler-pid=54419 --enable-crash-reporter=89ceb528-e999-43d9-b218-5cfa937b4cef, --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,16931988719781840217,615795490990827490,262144 --variations-seed-version=20250121-180208.859000
aro        54475   54430  0 18:10 ?        00:00:01 /opt/google/chrome/chrome --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-GB --service-sandbox-type=utility --string-annotations --crashpad-handler-pid=54419 --enable-crash-reporter=89ceb528-e999-43d9-b218-5cfa937b4cef, --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,16931988719781840217,615795490990827490,262144 --variations-seed-version=20250121-180208.859000
aro        54537   54430  0 18:10 ?        00:00:18 /opt/google/chrome/chrome --type=renderer --string-annotations --crashpad-handler-pid=54419 --enable-crash-reporter=89ceb528-e999-43d9-b218-5cfa937b4cef, --extension-process --change-stack-guard-on-fork=enable --disable-gpu-compositing --lang=en-GB --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=10 --time-ticks-at-unix-epoch=-1737539079845666 --launch-time-ticks=10546846043 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,16931988719781840217,615795490990827490,262144 --variations-seed-version=20250121-180208.859000
aro        54606   54430  1 18:10 ?        00:01:50 /opt/google/chrome/chrome --type=renderer --string-annotations --crashpad-handler-pid=54419 --enable-crash-reporter=89ceb528-e999-43d9-b218-5cfa937b4cef, --extension-process --change-stack-guard-on-fork=enable --disable-gpu-compositing --lang=en-GB --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=12 --time-ticks-at-unix-epoch=-1737539079845666 --launch-time-ticks=10547128170 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,16931988719781840217,615795490990827490,262144 --variations-seed-version=20250121-180208.859000
aro        54612   54430  0 18:10 ?        00:00:00 /opt/google/chrome/chrome --type=renderer --string-annotations --crashpad-handler-pid=54419 --enable-crash-reporter=89ceb528-e999-43d9-b218-5cfa937b4cef, --extension-process --change-stack-guard-on-fork=enable --disable-gpu-compositing --lang=en-GB --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=7 --time-ticks-at-unix-epoch=-1737539079845666 --launch-time-ticks=10547138592 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,16931988719781840217,615795490990827490,262144 --variations-seed-version=20250121-180208.859000
aro        54703   54410  0 18:10 ?        00:00:01 /opt/google/chrome/chrome --type=utility --utility-sub-type=audio.mojom.AudioService --lang=en-GB --service-sandbox-type=none --string-annotations --crashpad-handler-pid=54419 --enable-crash-reporter=89ceb528-e999-43d9-b218-5cfa937b4cef, --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,16931988719781840217,615795490990827490,262144 --variations-seed-version=20250121-180208.859000
aro        55043   54427  0 18:13 ?        00:00:00 /opt/google/chrome/chrome --type=utility --utility-sub-type=on_device_model.mojom.OnDeviceModelService --lang=en-GB --service-sandbox-type=on_device_model_execution --string-annotations --crashpad-handler-pid=54419 --enable-crash-reporter=89ceb528-e999-43d9-b218-5cfa937b4cef, --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,16931988719781840217,615795490990827490,262144 --variations-seed-version=20250121-180208.859000
aro        55044   55043  0 18:13 ?        00:00:00 /opt/google/chrome/chrome --type=broker
root       66722       2  0 19:00 ?        00:00:02 [kworker/u10:0-events_unbound]
root       66918       2  0 19:05 ?        00:00:04 [kworker/4:2-events]
root       66979       1  0 19:06 ?        00:00:01 /usr/libexec/fwupd/fwupd
aro        67409   52388  0 19:16 ?        00:00:12 /usr/libexec/gnome-terminal-server
aro        67417   67409  0 19:16 pts/2    00:00:00 bash
root       67438       2  0 19:16 ?        00:00:01 [kworker/3:0-events]
root       69015       2  0 19:21 ?        00:00:01 [kworker/1:1-events]
root       69317       2  0 19:26 ?        00:00:00 [kworker/2:1-cgroup_destroy]
aro        70146   54430  0 19:42 ?        00:00:05 /opt/google/chrome/chrome --type=renderer --string-annotations --crashpad-handler-pid=54419 --enable-crash-reporter=89ceb528-e999-43d9-b218-5cfa937b4cef, --change-stack-guard-on-fork=enable --disable-gpu-compositing --lang=en-GB --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=154 --time-ticks-at-unix-epoch=-1737539079845666 --launch-time-ticks=16082158407 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,16931988719781840217,615795490990827490,262144 --variations-seed-version=20250121-180208.859000
root       70173       2  0 19:43 ?        00:00:01 [kworker/0:2-events]
root       70275       2  0 19:56 ?        00:00:00 [kworker/3:2-cgroup_destroy]
root       70381       2  0 20:06 ?        00:00:00 [kworker/4:0-cgroup_destroy]
root       70384       2  0 20:09 ?        00:00:00 [kworker/u10:2-events_freezable_power_]
aro        70495   54430  0 20:21 ?        00:00:00 /opt/google/chrome/chrome --type=renderer --string-annotations --crashpad-handler-pid=54419 --enable-crash-reporter=89ceb528-e999-43d9-b218-5cfa937b4cef, --change-stack-guard-on-fork=enable --disable-gpu-compositing --lang=en-GB --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=169 --time-ticks-at-unix-epoch=-1737539079845666 --launch-time-ticks=18431621250 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,16931988719781840217,615795490990827490,262144 --variations-seed-version=20250121-180208.859000
root       70517       2  0 20:22 ?        00:00:00 [kworker/0:1-events]
root       70518       2  0 20:22 ?        00:00:00 [kworker/1:0-cgroup_destroy]
